step,loss,grad_norm,learning_rate,num_tokens,completions/mean_length,completions/min_length,completions/max_length,completions/clipped_ratio,completions/mean_terminated_length,completions/min_terminated_length,completions/max_terminated_length,rewards/reward_func/mean,rewards/reward_func/std,reward,reward_std,frac_reward_zero_std,kl,entropy,clip_ratio/low_mean,clip_ratio/low_min,clip_ratio/high_mean,clip_ratio/high_max,clip_ratio/region_mean,epoch
19,-0.037,0.0012613156577572227,5.213903743315509e-06,97117.0,159.875,127.75,211.5,0.0,159.875,127.75,211.5,0.8125,0.26933756470680237,0.8125,0.26933756470680237,0.5,0.0006998850440140814,0.3330593928694725,0.0,0.0,0.0,0.0,0.0,0.01
20,0.1849,0.7982007265090942,5.481283422459893e-06,102172.0,179.9375,109.5,256.0,0.25,154.5833396911621,109.5,198.75,0.3125,0.375,0.3125,0.375,0.25,0.0009132518898695707,0.4011355862021446,0.0,0.0,0.0,0.0,0.0,0.01
21,-0.0399,0.8576658368110657,5.748663101604279e-06,107532.0,196.75,151.5,237.75,0.3125,177.10416793823242,151.5,203.75,0.5,0.28867512941360474,0.5,0.28867512941360474,0.5,0.0013335329131223261,0.38357488065958023,0.0,0.0,0.0,0.0,0.0,0.01
22,0.0246,0.762748122215271,6.016042780748663e-06,112469.0,161.3125,116.5,214.75,0.0625,156.35416793823242,116.5,211.0,0.5,0.5386751294136047,0.5,0.5386751294136047,0.0,0.0012910022924188524,0.3304450735449791,0.0,0.0,0.0,0.0,0.0,0.01
23,0.0704,0.5873014330863953,6.283422459893049e-06,117759.0,172.125,125.25,235.25,0.1875,153.70833587646484,125.25,191.0,0.6875,0.125,0.6875,0.125,0.75,0.0015153016429394484,0.3482833281159401,0.0,0.0,0.0,0.0,0.0,0.01
24,0.0,0.0018177623860538006,6.550802139037433e-06,122690.0,160.1875,123.75,186.0,0.125,151.6875,123.75,172.5,0.5,0.0,0.5,0.0,1.0,0.0013564917462645099,0.3516838811337948,0.0,0.0,0.0,0.0,0.0,0.01
25,-0.1125,0.7799695134162903,6.818181818181818e-06,127246.0,140.0,95.0,179.25,0.125,129.3125,95.0,172.75,0.4375,0.26933756470680237,0.4375,0.26933756470680237,0.5,0.002123153244610876,0.4336029589176178,0.0,0.0,0.0,0.0,0.0,0.01
26,-0.0386,0.0032693613320589066,7.085561497326204e-06,133019.0,194.3125,141.25,232.25,0.1875,182.79166793823242,141.25,222.5,0.375,0.14433756470680237,0.375,0.14433756470680237,0.75,0.0015832276840228587,0.44744423776865005,0.0,0.0,0.0,0.0,0.0,0.01
27,0.029,0.689765214920044,7.3529411764705884e-06,137806.0,144.1875,118.5,183.5,0.0625,137.16666793823242,118.5,160.75,0.5625,0.375,0.5625,0.375,0.25,0.0013911137211835012,0.34769992530345917,0.0,0.0,0.0,0.0,0.0,0.02
28,0.0686,0.46094611287117004,7.6203208556149735e-06,143132.0,189.875,145.75,226.75,0.25,176.60416793823242,145.75,215.75,0.6875,0.41367512941360474,0.6875,0.41367512941360474,0.25,0.0020448594295885414,0.2986893951892853,0.0,0.0,0.0,0.0,0.0,0.02
29,-0.2545,0.9842010140419006,7.887700534759358e-06,148033.0,168.0625,106.25,214.0,0.125,161.2916717529297,106.25,204.5,0.5,0.5,0.5,0.5,0.0,0.0026710985403042287,0.3942771479487419,0.0,0.0,0.0,0.0,0.0,0.02
30,0.1834,0.7934918999671936,8.155080213903744e-06,153064.0,170.1875,125.25,230.75,0.1875,153.7083339691162,125.25,187.75,0.75,0.39433756470680237,0.75,0.39433756470680237,0.25,0.001956718013389036,0.265901081264019,0.0,0.0,0.0,0.0,0.0,0.02
31,0.1743,0.7421895861625671,8.42245989304813e-06,157970.0,174.125,140.5,219.75,0.125,162.06250381469727,140.5,182.75,0.625,0.39433756470680237,0.625,0.39433756470680237,0.25,0.0016081682842923328,0.3419706001877785,0.0,0.0,0.0,0.0,0.0,0.02
32,-0.0898,0.5814019441604614,8.689839572192514e-06,162937.0,169.9375,119.75,226.25,0.0625,163.0625,119.75,202.0,0.6875,0.125,0.6875,0.125,0.75,0.0025815977714955807,0.2936750054359436,0.0,0.0,0.0,0.0,0.0,0.02
33,0.1659,0.7943450808525085,8.957219251336898e-06,167919.0,169.625,118.75,227.25,0.125,157.93750381469727,118.75,196.0,0.625,0.39433756470680237,0.625,0.39433756470680237,0.25,0.001720465807011351,0.30699561536312103,0.0,0.0,0.0,0.0,0.0,0.02
34,0.1833,0.7898139953613281,9.224598930481284e-06,173008.0,173.0625,123.75,220.5,0.0625,169.85416793823242,123.75,216.0,0.4375,0.5193375647068024,0.4375,0.5193375647068024,0.0,0.0015190709673333913,0.36061548441648483,0.0,0.0,0.0,0.0,0.0,0.02
35,0.1644,1.3071155548095703,9.49197860962567e-06,177382.0,134.125,75.5,179.75,0.125,110.3125,75.5,138.0,0.5,0.39433756470680237,0.5,0.39433756470680237,0.25,0.005761100328527391,0.42427491024136543,0.0,0.0,0.0,0.0,0.0,0.02
36,-0.0142,0.003637507790699601,9.759358288770054e-06,181553.0,122.9375,92.25,150.75,0.0,122.9375,92.25,150.75,0.875,0.14433756470680237,0.875,0.14433756470680237,0.75,0.0027344936970621347,0.41606777906417847,0.0,0.0,0.0,0.0,0.0,0.02
37,-0.0082,0.4280821979045868,1.0026737967914438e-05,187042.0,199.8125,173.25,228.25,0.0625,197.89583587646484,173.25,226.25,0.75,0.25,0.75,0.25,0.5,0.0015169883845373988,0.31674160063266754,0.0,0.0,0.0,0.0,0.0,0.02
38,0.0525,0.7591027617454529,1.0294117647058824e-05,191880.0,166.625,126.0,205.0,0.125,157.0,126.0,189.75,0.5,0.39433756470680237,0.5,0.39433756470680237,0.25,0.0026462137466296554,0.3065839298069477,0.0,0.0,0.0,0.0,0.0,0.02
39,0.0488,0.47813674807548523,1.056149732620321e-05,197103.0,176.4375,133.25,232.0,0.0625,172.4375,133.25,224.25,0.3125,0.26933756470680237,0.3125,0.26933756470680237,0.5,0.0014305122313089669,0.3749522268772125,0.0,0.0,0.0,0.0,0.0,0.02
40,0.0034,0.5008901357650757,1.0828877005347594e-05,201693.0,152.375,123.25,188.25,0.0625,146.89583587646484,123.25,175.5,0.5625,0.26933756470680237,0.5625,0.26933756470680237,0.5,0.0025818563299253583,0.3051474764943123,0.0,0.0,0.0,0.0,0.0,0.02
41,0.006,1.3870080709457397,1.1096256684491979e-05,205924.0,130.6875,99.25,188.0,0.0625,122.29166793823242,99.25,155.5,0.625,0.5386751294136047,0.625,0.5386751294136047,0.0,0.00297096639405936,0.395215705037117,0.0,0.0,0.0,0.0,0.0,0.02
42,-0.0018,0.002422872930765152,1.1363636363636365e-05,210383.0,142.6875,103.0,173.25,0.0,142.6875,103.0,173.25,0.625,0.25,0.625,0.25,0.5,0.002724784950260073,0.37155643105506897,0.0,0.0,0.0,0.0,0.0,0.02
